country,currency,reference_number,fiscal_id,document_type,total_invoice,issued_date,payment_date,contact_company,contact_telephone,contact_email,payer_company,status
CL,CLP,252134,85172100-2,33,"3,248,514.00",08-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,252137,85172100-2,33,"14,878,760.00",08-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,16317,76018303-2,33,"547,400.00",08-02-2022,11-04-2022,SCALEAQ CHILE SPA,65,odette.munoz@scaleaq.com,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28875,76016402-K,33,"875,094.00",08-02-2022,11-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,486738,84144400-0,33,"354,320.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,111964,76253631-5,33,"2,974,706.00",09-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,486741,84144400-0,33,"135,273.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,486742,84144400-0,33,"566,991.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,486737,84144400-0,33,"192,463.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,486746,84144400-0,33,"601,520.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,486752,84144400-0,33,"383,531.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,178988,77575690-K,33,"7,380,896.00",08-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,486753,84144400-0,33,"45,303.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,486747,84144400-0,33,"225,129.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,486748,84144400-0,33,"953,486.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,178994,77575690-K,33,"20,840.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,SOPRAVAL S.A.,Disponible
CL,CLP,111936,76253631-5,33,"3,551,183.00",08-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,SOPRAVAL S.A.,Disponible
CL,CLP,486749,84144400-0,33,"762,789.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,486739,84144400-0,33,"566,991.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,252170,85172100-2,33,"3,080,196.00",09-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,486780,84144400-0,33,"255,367.00",09-02-2022,11-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,111972,76253631-5,33,"18,992,643.00",09-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,28920,76016402-K,33,"1,306,740.00",09-02-2022,11-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28922,76016402-K,33,"1,837,255.00",09-02-2022,11-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28919,76016402-K,33,"614,280.00",09-02-2022,11-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28918,76016402-K,33,"2,568,807.00",09-02-2022,11-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28921,76016402-K,33,"3,383,341.00",09-02-2022,11-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,178985,77575690-K,33,"267,224.00",07-02-2022,08-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,178984,77575690-K,33,"267,274.00",07-02-2022,08-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,11631,78586090-K,33,"4,159,240.00",09-02-2022,11-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,SOPRAVAL S.A.,Disponible
CL,CLP,112008,76253631-5,33,"8,018,244.00",10-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,484042,86510400-6,33,"1,042,916.00",10-02-2022,11-04-2022,CENTRO VETERINARIO Y AGRICOLA LTDA,2,roxana.castillo@centrovet.com,AGRICOLA SUPER,Disponible
CL,CLP,11638,78586090-K,33,"5,383,793.00",10-02-2022,11-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,2455472,86887200-4,33,"917,728.00",07-02-2022,08-04-2022,Comercializadora de Art. Proteccion,228060,Cecilia.neira@apro.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486905,84144400-0,33,"197,955.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486906,84144400-0,33,"1,659,435.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,252191,85172100-2,33,"6,138,696.00",10-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179037,77575690-K,33,"4,693,233.00",10-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179039,77575690-K,33,"9,106,057.00",10-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179009,77575690-K,33,"170,012.00",10-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,2455462,86887200-4,33,"283,399.00",07-02-2022,08-04-2022,Comercializadora de Art. Proteccion,228060,Cecilia.neira@apro.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,2455513,86887200-4,33,"218,413.00",07-02-2022,08-04-2022,Comercializadora de Art. Proteccion,228060,Cecilia.neira@apro.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486907,84144400-0,33,"81,594.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486908,84144400-0,33,"597,913.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486911,84144400-0,33,"2,794,388.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486914,84144400-0,33,"439,262.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486915,84144400-0,33,"1,200,592.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,2455475,86887200-4,33,"2,125,899.00",07-02-2022,08-04-2022,Comercializadora de Art. Proteccion,228060,Cecilia.neira@apro.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486909,84144400-0,33,"489,026.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486912,84144400-0,33,"5,408,493.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486910,84144400-0,33,"489,026.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,486913,84144400-0,33,"2,641,314.00",11-02-2022,12-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179010,77575690-K,33,"850,057.00",10-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,2455506,86887200-4,33,"30,702.00",07-02-2022,08-04-2022,Comercializadora de Art. Proteccion,228060,Cecilia.neira@apro.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179000,77575690-K,33,"1,291,857.00",08-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179003,77575690-K,33,"2,627,972.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,252166,85172100-2,33,"4,497,462.00",09-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,252165,85172100-2,33,"2,365,703.00",09-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,252143,85172100-2,33,"410,150.00",08-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,252138,85172100-2,33,"2,804,652.00",08-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179012,77575690-K,33,"5,922,572.00",08-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,28968,76016402-K,33,"614,804.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28975,76016402-K,33,"3,350,616.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28974,76016402-K,33,"1,542,598.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28976,76016402-K,33,"745,216.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28971,76016402-K,33,"4,046,525.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28970,76016402-K,33,"1,844,411.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28973,76016402-K,33,"1,542,598.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28969,76016402-K,33,"4,292,447.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,28972,76016402-K,33,"3,387,009.00",11-02-2022,12-04-2022,MAQSUR MAQUINARIAS SA,65,info@mqs.cl,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,179002,77575690-K,33,"78,177.00",10-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179074,77575690-K,33,"2,407,369.00",11-02-2022,12-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179078,77575690-K,33,"3,140,982.00",11-02-2022,12-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179079,77575690-K,33,"942,260.00",11-02-2022,12-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179080,77575690-K,33,"585,682.00",11-02-2022,12-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179073,77575690-K,33,"1,523,292.00",11-02-2022,12-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179076,77575690-K,33,"393,785.00",11-02-2022,12-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179077,77575690-K,33,"1,166,175.00",11-02-2022,12-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,112054,76253631-5,33,"322,335.00",14-02-2022,18-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179004,77575690-K,33,"211,224.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179005,77575690-K,33,"211,233.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179026,77575690-K,33,"1,271,091.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179069,77575690-K,33,"266,819.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179062,77575690-K,33,"3,768,230.00",08-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179065,77575690-K,33,"682,979.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179066,77575690-K,33,"864,847.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,179067,77575690-K,33,"454,024.00",09-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA.,Disponible
CL,CLP,252221,85172100-2,33,"2,836,830.00",14-02-2022,18-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,SOPRAVAL S.A.,Disponible
CL,CLP,252223,85172100-2,33,"2,391,043.00",14-02-2022,18-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,SOPRAVAL S.A.,Disponible
CL,CLP,179091,77575690-K,33,"851,998.00",14-02-2022,18-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,179084,77575690-K,33,"3,788,570.00",14-02-2022,18-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,112121,76253631-5,33,"1,084,685.00",15-02-2022,18-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,112090,76253631-5,33,"1,983,963.00",14-02-2022,18-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11648,78586090-K,33,"2,355,521.00",15-02-2022,18-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,112089,76253631-5,33,"506,032.00",14-02-2022,18-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11649,78586090-K,33,"4,716,841.00",15-02-2022,18-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11650,78586090-K,33,"3,160,669.00",15-02-2022,18-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,112111,76253631-5,33,"5,300,498.00",15-02-2022,18-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11647,78586090-K,33,"2,316,859.00",15-02-2022,18-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11646,78586090-K,33,"2,359,387.00",15-02-2022,18-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,179087,77575690-K,33,"1,870,125.00",10-02-2022,11-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,179083,77575690-K,33,"486,621.00",14-02-2022,18-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,112112,76253631-5,33,"5,920,250.00",15-02-2022,18-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,487157,84144400-0,33,"95,888.00",16-02-2022,18-04-2022,Industrial y Comercial Solucorp Ltd,3637000,oc_fbendeck@solucorp.com,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,179090,77575690-K,33,"63,601.00",14-02-2022,18-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,112119,76253631-5,33,"751,878.00",15-02-2022,18-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
